DATAFLOW,LAST UPDATE,freq,indic_sbs,nace_r2,size_emp,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Montenegro,2023,11041.17,p,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,North Macedonia,2021,27739.16,NaN,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,North Macedonia,2022,35098.06,NaN,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,North Macedonia,2023,33766.23,p,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Malta,2021,41425.14,NaN,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Malta,2022,48571.56,NaN,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Malta,2023,50506.6,p,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Netherlands,2021,2171966.6,NaN,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Netherlands,2022,2616846.4,NaN,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Netherlands,2023,2639276.54,p,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Norway,2021,711072.79,NaN,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Norway,2022,944751.63,NaN,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Norway,2023,782086.19,p,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Poland,2021,1437683.51,NaN,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Poland,2022,1756987.54,NaN,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Poland,2023,1874417.21,p,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Portugal,2021,446188.43,b,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Portugal,2022,544386.98,NaN,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Portugal,2023,566354.02,p,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Romania,2021,400161.55,NaN,NaN
